	code	seed	cols	posX	posY
0	18081030	4	0	842.4357270062001	611.2842105341999
1	18081030	4	1	660.9310128801001	658.5652290414499
2	18081030	4	2	993.93417392295	430.52643981305
3	18081030	13	1	558.4370211310714	596.2351958830001
4	18081030	13	2	982.2551382830001	588.3468544359287
5	18081030	19	0	672.4396235349166	618.41522927275
6	18081030	19	1	662.7141475445356	663.2400708985
7	18081030	19	2	962.5778301611787	303.64013775017855
8	18081030	26	0	811.5763705740587	536.0564566071176
9	18081030	26	1	693.7821082638234	725.8377091840882
10	18081030	26	2	923.5341605214707	297.94414608123526
11	25081100	4	0	728.4765982919201	628.1910687596001
12	25081100	4	1	672.4233738260001	634.528486046
13	25081100	13	0	541.4493079967999	590.3264916694
14	25081100	13	1	553.1699374108572	585.8041650581428
15	25081100	13	2	839.1574931763333	663.3440703368333
16	25081100	19	0	630.6780384126841	632.3878618125789
17	25081100	19	1	670.5127132257334	668.6539388763333
18	25081100	19	2	872.0430710471818	418.1080907773636
19	25081100	26	0	705.9267847730434	582.0564613682172
20	25081100	26	1	664.5098564823332	689.3077100593333
21	25081100	26	2	884.266686593	360.92468934050004
22	25081530	4	0	675.6262356582105	626.5316731747367
23	25081530	4	1	597.3492726976666	661.979922052
24	25081530	13	0	544.1069801891001	595.3863396429999
25	25081530	13	1	523.6772225815714	573.8931648214285
26	25081530	13	2	883.8886590475383	692.174890847154
27	25081530	19	0	662.9429386527222	589.1429111917222
28	25081530	19	1	665.4946330824212	642.3210505341052
29	25081530	19	2	880.9243502378889	413.45674636599995
30	25081530	26	0	749.4194761465	528.6626107791501
31	25081530	26	1	674.0632710666667	701.9960952856667
32	27071600	4	0	647.4967481438824	639.5248566687649
33	27071600	4	1	625.0682565674782	652.7461623827825
34	27071600	4	2	940.71293538775	514.335246776
35	27071600	13	0	582.3698110361177	583.3660221974118
36	27071600	13	1	525.4272260450556	537.7455619269999
37	27071600	13	2	798.1733397925	634.4375702215
38	27071600	19	0	696.586924677815	669.3736123009259
39	27071600	19	1	700.7098660093571	695.2812547782141
40	27071600	19	2	895.0116953033076	369.6539330653847
41	27071600	26	0	696.2347357739657	719.1953889949999
42	27071600	26	1	682.9973661774668	765.3966939777332
43	27071600	26	2	850.7850573661001	413.5559891031
44	27081030	4	0	660.3519282043336	588.2825151992778
45	27081030	4	1	658.9677458697827	593.667876357174
46	27081030	4	2	978.0603255937501	454.1539795836875
47	27081030	13	0	507.6667111773637	517.3430175851819
48	27081030	13	1	542.2556462155882	514.6694107981176
49	27081030	13	2	905.3918363075294	631.6797023240001
50	27081030	19	0	663.5957135620624	575.2455450766874
51	27081030	19	1	674.0808987417143	596.9910056842381
52	27081030	19	2	939.7724670124211	357.5457917865263
53	27081030	26	0	768.9319759312593	484.87682981492594
54	27081030	26	1	721.7214734082273	574.7288112854546
55	27081030	26	2	924.9980891403076	307.1347594219231
56	27081400	4	0	796.4854785558965	570.1624655626898
57	27081400	4	1	647.982039571	627.5553277711999
58	27081400	4	2	1005.8014645487999	457.7240573358
59	27081400	13	0	541.9433291941052	551.8857586466315
60	27081400	13	1	468.22984757881824	494.34630800109096
61	27081400	13	2	875.7818533585714	633.9783864531429
62	27081400	19	0	657.6660789556154	581.6489015818462
63	27081400	19	1	641.5020771551001	694.6663707171498
64	27081400	19	2	841.414094314857	437.72734149342847
65	27081400	26	0	807.3394885666333	500.18225683073325
66	27081400	26	1	675.560502634182	722.937531203
67	27081400	26	2	867.8379601711874	371.90240552962507
68	28070900	4	0	767.9839244451999	550.1458635551332
69	28070900	4	1	740.2886105743333	563.3600560181667
70	28070900	4	2	1001.05587239	435.517858199
71	28070900	13	0	587.120779575	541.6993196419999
72	28070900	13	1	596.0711240576154	529.5031189381539
73	28070900	13	2	932.0436531359999	556.6008334382001
74	28070900	19	0	657.7449801854285	552.7469643837143
75	28070900	19	1	664.2678910242856	585.2709176754287
76	28070900	19	2	959.0316365570001	361.08000776933335
77	28070900	26	0	785.3566732260529	540.7559284204738
78	28070900	26	1	733.1982450827895	584.3427731092104
79	28070900	26	2	983.2647372750001	366.7394372243334
80	28071030	4	0	693.1133494476401	634.17859690028
81	28071030	4	1	659.0374925768095	628.5971563616667
82	28071030	4	2	982.5406018391001	483.95779935420006
83	28071030	13	0	535.4855407673	600.2857197355
84	28071030	13	1	498.78582459436353	542.6650420232273
85	28071030	13	2	896.3842388816668	646.6633436949999
86	28071030	19	0	668.8447135857917	645.6203695838334
87	28071030	19	1	663.8209285993751	617.4422482675
88	28071030	19	2	917.4630724868749	352.9076996825
89	28071030	26	0	721.083984649643	631.915599003393
90	28071030	26	1	692.1105758702353	638.6832502141176
91	28071030	26	2	880.7298153728001	336.9764601541
92	28071300	4	0	744.9592756144075	612.4448055105555
93	28071300	4	1	679.5118359033335	652.909119868625
94	28071300	4	2	1005.4310744727918	457.79333975454165
95	28071300	13	0	491.45091201526674	553.6906020799336
96	28071300	13	1	520.2801364044999	554.4359936346365
97	28071300	13	2	1018.4197240953182	623.4804126933182
98	28071300	19	0	686.536864583	635.5709484547273
99	28071300	19	1	689.14675707265	693.66085241525
100	28071300	19	2	957.7481513851999	330.27859019760007
101	28071300	26	0	830.1381990726297	456.28673501377773
102	28071300	26	1	742.0598197895555	702.80633462
103	28071300	26	2	870.1989412806249	341.71312583212506
104	28071430	4	0	816.1127734098948	626.3364616802631
105	28071430	4	1	787.6457739986666	633.1469542126666
106	28071430	4	2	993.6860536414999	405.84080847399997
107	28071430	13	1	536.2493704764668	569.9773802580668
108	28071430	13	2	980.0623837413332	601.5915134674667
109	28071430	19	0	665.7909419698636	638.5388012568183
110	28071430	19	1	663.189417409294	670.9144233748822
111	28071430	19	2	913.6495826656002	311.88319948913335
112	28071430	26	0	762.8708388518822	549.380641327353
113	28071430	26	1	721.2781276549999	683.9253331341818
114	28071430	26	2	869.0546607887273	330.83935589677276
115	28071600	4	0	669.1178214172668	594.0775377103332
116	28071600	4	1	639.094270723	593.2165579703159
117	28071600	4	2	930.8073436446874	433.343689879125
118	28071600	13	0	563.5401045572	560.0038700100666
119	28071600	13	1	572.741005861	572.7688766874736
120	28071600	13	2	954.7506033845883	563.3967171573529
121	28071600	19	0	661.4032455235769	595.7025242417693
122	28071600	19	1	662.5970320151054	590.1334206452105
123	28071600	19	2	899.8814452262666	296.64907243133337
124	28071600	26	0	733.6236998652307	591.7668585805769
125	28071600	26	1	710.248293752591	578.2592692769545
126	28071600	26	2	882.17846229665	290.7854495015
127	29070900	4	0	756.36483904988	578.0857570195999
128	29070900	4	1	700.2299359353158	600.1772919283684
129	29070900	4	2	1005.9532617736667	467.4751608723333
130	29070900	13	0	499.11134310523084	541.3208194380769
131	29070900	13	1	505.6781036703333	520.7165493214667
132	29070900	13	2	952.4435816316316	608.303978752158
133	29070900	19	0	676.2418721536666	646.4576911292859
134	29070900	19	1	662.0060555322143	646.110423465
135	29070900	19	2	940.326851604	387.903555139875
136	29070900	26	0	768.920340520724	558.8235917048275
137	29070900	26	1	710.0713542073199	675.4578680548001
138	29070900	26	2	900.4927010097616	347.45186243061903
139	29071100	4	0	812.0232441326956	631.2445175168696
140	29071100	4	1	709.7740557696154	671.0303938226155
141	29071100	4	2	1029.8100758090768	490.94312621203846
142	29071100	13	1	551.2033470185418	603.2718869385001
143	29071100	13	2	955.8676145982917	637.0230647596248
144	29071100	19	0	691.8990425782499	665.8413053242
145	29071100	19	1	691.1834797359653	679.5746340708279
146	29071100	19	2	976.8814804437243	356.68070063282767
147	29071100	26	0	825.4630977288002	512.9550481648
148	29071100	26	1	739.0495632852104	692.850673345158
149	29071100	26	2	911.4898331982105	353.1193371648421
150	29071430	4	0	815.4804872929667	650.9153043334002
151	29071430	4	1	710.5456192167143	685.247820631
152	29071430	4	2	1027.5490148671427	442.35189518909533
153	29071430	13	0	543.6351689792999	590.2404554141
154	29071430	13	1	502.4807348075652	552.2594545460436
155	29071430	13	2	1013.9342232390001	623.8164940390001
156	29071430	19	0	689.907812468238	636.6142533075239
157	29071430	19	1	683.9598046572729	705.0316368378636
158	29071430	19	2	965.9167424484091	310.40804465109085
159	29071430	26	0	788.4188835588889	532.6083259208888
160	29071430	26	1	714.0112217629093	735.2927949002727
161	29071430	26	2	913.6288486364546	320.5127661024091
162	29071600	4	0	775.4044070806499	579.63927445685
163	29071600	4	1	679.480912211889	612.1591042719999
164	29071600	4	2	927.0102190990001	516.94991623725
165	29071600	13	0	561.608455091077	566.6075520962307
166	29071600	13	1	538.1512055545385	529.1548309041538
167	29071600	13	2	926.8806208141999	597.7113675898
168	29071600	19	0	671.9516616412963	599.0647277822593
169	29071600	19	1	668.7582657172143	618.2275139967858
170	29071600	19	2	883.5462417598333	384.5180669067501
171	29071600	26	0	772.0694798484615	529.3472797678077
172	29071600	26	1	707.7044130757272	656.5291412085909
173	29071600	26	2	849.4963941205714	406.10806217728566
174	30071430	4	0	759.3128879403637	608.6459139332727
175	30071430	4	1	664.0145821045	624.37641115275
176	30071430	13	0	526.3919902209092	594.7555718176363
177	30071430	13	1	563.2080903775	593.4385901124999
178	30071430	13	2	873.282835696	677.3887486663333
179	30071430	19	0	661.8853879512221	667.1601430646666
180	30071430	19	1	654.2237125686154	641.6770549727692
181	30071430	19	2	905.2228267157	405.01436281119993
182	30071430	26	0	735.1085406359166	610.0175907005834
183	30071430	26	1	704.6115352208667	670.9123602143999
184	30071430	26	2	830.5477339353333	481.0791837526667
